,Issuing Agent,PolicyNum,Product Code,Count_Policy,Base/Rider
1602,60068274,80131602,URC5,1,Rider
1603,60071341,80132251,UL05,1,Base
1604,60071341,80132251,RHB1,1,Rider
1605,60071341,80132251,URC5,1,Rider
1606,60071341,80132251,URA5,1,Rider
1607,60071341,80132251,URW5,1,Rider
1608,60075791,80132392,RHB1,1,Rider
1609,60075791,80132392,URC5,1,Rider
1610,60075791,80132392,UL05,1,Base
1611,60040261,80132312,URC6,1,Rider
1612,60040261,80132312,URC5,1,Rider
1613,60040261,80132312,URA5,1,Rider
1614,60040261,80132312,UL05,1,Base
1615,60040261,80132312,RHB1,1,Rider
1616,60057335,80132555,UL06,1,Base
1617,60074599,80132853,URC5,1,Rider
1618,60074599,80132853,UL05,1,Base
1619,60074599,80132853,RHS1,1,Rider
1620,60074599,80132853,RHB1,1,Rider
1621,60074599,80132853,URA5,1,Rider
1622,60075979,80132204,URA5,1,Rider
1623,60075979,80132204,URC5,1,Rider
1624,60075979,80132204,UL05,1,Base
1625,60075979,80132204,URC6,1,Rider
1626,60072216,80131955,URA5,1,Rider
1627,60072216,80131955,RHB1,1,Rider
1628,60072216,80131955,UL05,1,Base
1629,60072216,80131955,URC5,1,Rider
1630,60055929,80131559,UL05,1,Base
1631,60055929,80131559,URA5,1,Rider
1632,60073110,80131576,TL01,1,Base
1633,60067648,80132824,URA5,1,Rider
1634,60067648,80132824,UL05,1,Base
1635,60067648,80132824,URC5,1,Rider
1636,60074595,80132635,URC5,1,Rider
1637,60074595,80132635,UL05,1,Base
1638,60074595,80132635,RHB1,1,Rider
1639,60074595,80132635,URA5,1,Rider
1640,60075975,80132972,UL05,1,Base
1641,60058140,80132856,URA5,1,Rider
1642,60058140,80132856,UL05,1,Base
1643,60062229,80132809,URA5,1,Rider
1644,60062229,80132809,UL05,1,Base
1645,60075780,80132657,RHS1,1,Rider
1646,60075780,80132657,RHB1,1,Rider
1647,60075780,80132657,UL05,1,Base
1648,60069367,80133062,URC5,1,Rider
1649,60069367,80133062,URA5,1,Rider
1650,60069367,80133062,RHS1,1,Rider
1651,60069367,80133062,UL05,1,Base
1652,60069367,80133062,RHB1,1,Rider
1653,60057593,80131720,UL05,1,Base
1654,60057593,80131720,RHB1,1,Rider
1655,60038818,80131276,EE04,1,Base
